ID,Text
0,"Ukraine has put itself in a situation when external forces dictate how it should solve its internal problems. Kyiv expected that its Western allies will put pressure on Russia in the Normandy Four format. However, the allies realised that their confrontation with Russia will cost them more. Emmanuel Macron and Angela Merkel supported Russia's position and put even bigger pressure on Ukraine than Vladimir Putin did. Eventually Zelenskyy found himself in solitude, because Russia, Germany, and France had nearly identical positions regarding the resolution of the civil conflict in Ukraine. Ukrainian politicians wrongfully remain confident that the West will always unconditionally support any Russophobic regime and that Ukraine can just carry out its foreign policy and security under the West's authority to enjoy its protection.

Ukraine could slam the door and declare that it no longer needs the Normandy format. However, it is the last remaining material evidence of Ukraine's unity with the West and of its ""movement"" towards Europe, which Kyiv can present to the Ukrainian people. If the truth is told to the Ukrainians that Europe, represented by Paris and Berlin, is already playing along with Russia, then Ukrainian people will reasonably question, for what were people sacrificed and state and society destroyed, if in the end, Europe betrayed Ukraine, Ukraine will never be in the EU, and a ""bright future"" will never come."
1,"Regardless who was behind the recent attack on the Saudi oil infrastructure, the key question is “who would benefit from this new round of escalation?”

Relatively high oil prices would contribute to the economic policy pursued by the Trump administration. At the same time, the industry of large oil consumers, like China and Germany, would bear additional costs because of the growth of energy prices. Therefore, the Trump administration would get additional odds in its economic war with China and protectionist policy against the EU industrial states.

This ‘controlled escalation’ would allow Washington to consolidate existing and gain additional levers of pressure on global energy prices, including the influence on Saudi Arabia, and, therefore, manipulate the global energy market in own interests. A similar motivation stands behind the US geopolitical activity towards Venezuela."
2,"Pilsudski is a historical figure, who established the first Polish Legions, which fought on the side of the Austro-Hungarian Empire. These Legions organized the Volyn Tragedy."
3,"Washington (and to a large degree Brussels) are engaged in fostering [Russophobia] so as to not just create a bulwark against the mythical “Russian aggression”, but also a possible staging ground for another “Barbarossa”. Of course, just like in 1938 when they were using Czechs as a bargaining chip, it’s not a big issue for the West to use modern Eastern Europeans as cannon fodder in a possible future confrontation with Russia, leaving the West unscathed. However, this time, it would be quite different as more than 6,000 Russian nukes disagree."
4,"The beneficiary of the resolution of the European Parliament, declaring the non-aggression pact between the USSR and Germany the cause of the World War Two, is first and foremost Germany. Germany is, with the help of others, getting relieved from the status of main culprit of the war. The responsibility for the deaths of 60 millions will now fall on others."
5,"Why should we be more disturbed by the supposed global warming than the deliberate plan to end Western ethnicities?

/---/

The tentacles of billionaire George Soros entangle politics and generate chaos in countries around the world through the legions of employees of his philanthropic Open Society. His money finances extremist groups seeking to overthrow capitalism and promote a radical global environmentalist order. His retinue of advisers span the globe in positions of influence and power, and implementing his radical agenda. The advent of this new environmentalist religion desperately needs dazzling new demagogues to push the cause of global warming and silence its opponents under penalty of crime or mortal sin."
6,A growing backlash has begun across Hong Kong against US-funded protests that have attempted to disrupt governance and commerce as part of a floundering movement to maintain Western influence in the region.
7,"Of particular concern is the growing number of crimes motivated by anti-Semitism and other crimes directed against ethnic minorities. However, it is one thing when the state struggles to prevent this, and another when it indirectly encourages such crimes."
8,"Ministry of Defence of the Russian Federation commented the statements of the commander of the U.S. Air Forces in Europe, General Jeffrey Harrigian, about a possible attack on Kaliningrad. The ministry emphasised that this region is reliably protected from any aggressive 'plans' that are being developed in Europe by 'random' American generals. At the same time, the Ministry of Foreign Affairs flagged the statement of Harrigian as a ""threat"" and ""irresponsible opinion""."
9,"Under the guise of a concrete pressing issue (a factual problem, often a social one, concerning violations of rights of certain individuals or segments of a community), chosen by Western propaganda masters waging the information war, a targeted message containing half-truths is sent via messengers with the expectation that it will cause a strong reaction from individuals, which can then be transformed into mass demonstrations and “social unrest” (as is the case, for example, in Hong Kong on orders from Western elites)."
10,"Liberal-globalism is a totalitarian ideology that today dominates the world. Liberal globalism is an ideological dictatorship shared by all of the world's élites and imposed upon the people. Liberal globalist domination is increasingly strong all over the world.  Politics, culture, education, art, ideology: everything is under the control of liberalism, which does not tolerate any alternative points of view.  Any alternative to liberalism is labeled “extremism”, is considered the “enemy” and is eliminated."
11,"Liberal-globalism is a totalitarian ideology that today dominates the world. Liberal globalism is an ideological dictatorship shared by all of the world's élites and imposed upon the people. Liberal globalist domination is increasingly strong all over the world.  Politics, culture, education, art, ideology: everything is under the control of liberalism, which does not tolerate any alternative points of view.  Any alternative to liberalism is labeled “extremism”, is considered the “enemy” and is eliminated."
12,The EU sanctions have not yet produced the desired results. The Russian Foreign Ministry repeatedly stated that it was counterproductive to speak the language of sanctions with Russia.
